,cluster,top_10_words
0,0,"['climate', 'change', 'world', 'new', 'trump', 'global', 'impact', 'study', 'report', 'effect']"
1,1,"['climate', 'change', 'fight', 'trump', 'new', 'world', 'plan', 'combat', 'need', 'want']"
2,2,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'like', 'r', 'think']"
3,3,"['climate', 'change', 'trump', 'world', 'new', 'fight', 'scientist', 'global', 'report', 'action']"
4,4,"['climate', 'change', 'trump', 'new', 'report', 'study', 'global', 'news', 'fight', 'scientist']"
