,cluster,top_10_words
0,0,"['climate', 'change', 'people', 'think', 'believe', 'real', 'cause', 'trump', 'action', 'know']"
1,1,"['climate', 'change', 'world', 'people', 'year', 'new', 'global', 'r', 'like', 'time']"
2,2,"['climate', 'change', 'fight', 'world', 'trump', 'new', 'need', 'want', 'help', 'combat']"
3,3,"['climate', 'change', 'trump', 'new', 'world', 'report', 'news', 'fight', 'global', 'study']"
4,4,"['climate', 'change', 'world', 'fight', 'global', 'new', 'real', 'effect', 'impact', 'scientist']"
