,cluster,top_10_words
0,0,"['climate', 'change', 'trump', 'world', 'new', 'global', 'fight', 'report', 'scientist', 'science']"
1,1,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'r', 'like', 'think']"
2,2,"['climate', 'change', 'real', 'world', 'trump', 'cause', 'fight', 'people', 'cmv', 'scientist']"
3,3,"['climate', 'change', 'study', 'news', 'report', 'trump', 'world', 'threaten', 'protest', 'risk']"
4,4,"['climate', 'change', 'fight', 'world', 'new', 'trump', 'plan', 'combat', 'tackle', 'study']"
