,cluster,top_10_words
0,0,"['climate', 'change', 'world', 'new', 'global', 'impact', 'fight', 'year', 'effect', 'trump']"
1,1,"['climate', 'change', 'fight', 'world', 'trump', 'new', 'need', 'combat', 'help', 'want']"
2,2,"['climate', 'change', 'people', 'world', 'year', 'new', 'r', 'global', 'like', 'think']"
3,3,"['climate', 'change', 'trump', 'new', 'world', 'report', 'news', 'global', 'study', 'fight']"
4,4,"['climate', 'change', 'real', 'global', 'scientist', 'fight', 'cause', 'bad', 'stop', 'trump']"
