,word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,what,-0.7520739,-0.5389823,0.94960827,-0.26936972,0.109789565,1.0524893,-0.3848841,-0.76830995,0.32262036,-0.6861441,-0.17649178,-0.7562563,-0.61510485,0.39384246,0.07768769,0.35467845,-0.08602856,-0.36552674,1.2800198,0.95835584,-0.6481157,-1.0141371,-0.38998067,0.07017478,0.787607,0.48082048,-0.13086513,0.35699114,-1.0847639,0.18012628,-0.027965467,0.82751316,0.11052319,1.0980062,0.04745313,0.36151224,-0.70574075,-0.3408817,0.21827833,-0.8951047,0.24744117,0.43637672,-0.6001085,-0.1920699,-0.33603728,-0.38159302,-0.19770145,0.23711935,-0.28063416,0.21093112,0.660131,0.09424649,0.034385916,-0.9278155,-0.43881488,-0.13431135,0.96853995,-0.3766107,0.76537657,0.20411666,0.43899974,-0.18159534,-0.112011775,-1.0362846,-0.9326119,-0.11646795,0.24504127,0.8646541,0.1258891,-0.17542322,0.009897904,-0.24676977,0.7523723,0.2573811,0.51522,0.137896,-0.18029408,-0.9615694,-1.1057764,0.20991988,-0.9652428,0.07187531,-0.7959139,-0.34597778,0.777808,-0.28849715,0.14794627,0.82850456,0.7335563,0.58988893,0.118763216,-0.7087049,-0.68630046,0.73814493,0.20789734,-0.3310908,-0.23196836,-1.0394509,-0.18057077,-0.34560022
1,be,0.37017077,0.39004123,-0.4898293,0.5202311,0.049182657,0.31198302,0.2367365,0.37697113,-0.13314418,0.0070276083,-0.83596826,-0.15520531,0.1356267,0.50838107,0.40908468,-0.44556344,0.25704926,0.9958811,0.19556297,-0.7359778,-0.03547328,0.088502,-0.58244574,0.044980824,-0.18310767,0.6169741,0.076375894,0.13182892,0.16008449,0.637578,-0.21426675,0.14811678,0.13127719,-0.1436754,-0.69845957,-0.6863831,-0.32229346,0.33936694,-0.23923095,0.18276063,-0.040977553,0.30428562,-0.35090527,-0.21815485,-0.26648468,0.4315404,0.042973697,0.11513944,-0.27891475,0.23995505,0.7523739,0.6348538,0.11078117,0.49640182,0.26870722,0.5722769,-0.34627858,0.51688766,-0.59378743,-0.6350934,-0.098075405,-0.03985889,0.41275364,0.1462075,0.5902725,-0.06076067,0.28583112,-0.8276912,-0.41649264,-0.34926167,-0.26321384,0.112872146,-0.21549335,0.25559413,0.087677136,-0.19573146,0.23983052,-0.117561735,0.40085238,0.36586815,-1.0269645,0.5559715,-0.2846211,0.01194743,-1.0478829,0.27126196,-0.283078,0.18904561,0.31687528,0.37206882,-0.31489307,0.51157594,-0.4463488,0.13775495,0.3746359,0.10633845,0.7332016,0.269678,-0.5404065,-0.0041940687
2,the,-0.29394883,0.5373969,0.12831478,-0.51240546,-0.54967034,0.06288165,-0.33475837,0.28306314,0.48051488,-0.102615684,0.05416719,-0.6972514,0.535408,-0.17905651,-0.077043995,-0.61457944,0.70081425,-0.13712536,0.28634065,0.53049195,0.35353842,0.46340376,0.4382763,-1.112412,0.01948851,-0.59866047,-0.6776191,-0.17175123,-1.2892239,-0.54114074,0.27749363,-0.14584902,0.34792066,-0.4146488,-0.05170471,-0.23610634,0.5646535,-0.12955952,0.43955642,-0.0011537487,0.073199816,-0.577385,0.3305041,-0.017884761,0.091462456,-0.4073046,0.018609915,-0.75667614,0.3376462,-0.4504704,-0.4276159,0.0754437,0.08741294,0.14178826,-0.72378665,-0.5704427,1.0445997,-0.029718569,-0.017516872,0.095737115,-0.98149437,0.12877168,0.27616072,0.289217,0.235931,0.40824044,0.3269957,-0.103728004,0.03422009,0.9208043,-0.32708365,-0.029479701,-0.6180268,0.049034663,0.037462424,-0.11192765,-1.0508854,0.9957063,0.12206352,-0.37818485,0.38756046,-0.52193236,-0.30445334,0.4167644,-0.51411754,0.36530566,0.167556,-0.3845691,0.6755924,0.020950427,0.0024409667,-0.110727996,-0.034591183,1.125442,0.5976481,0.19713144,-0.60354936,0.21927574,0.34754258,0.043046907
3,human,-0.1604693,0.5515045,-0.9332235,0.22430281,0.7086438,-0.040369317,0.530296,0.29274422,1.0605813,0.3581168,0.37873417,-0.41815472,0.44735813,-0.06424705,0.013028774,-0.16427042,0.065872714,-0.3193198,0.4163164,1.0070022,0.5292182,0.7389041,-0.11738049,1.1188948,-0.50711334,-0.08900773,0.73047155,-0.14661936,0.49533904,0.08915398,-0.61907876,-0.37522793,0.16904643,-0.06351763,0.11296128,0.30240595,0.40136564,-0.4070746,0.42587888,0.53497136,0.51940525,-0.63727,-0.8993573,-0.3581453,1.236012,-0.13418482,-0.39054987,-0.54693264,-0.82524896,-0.29199585,0.91996336,0.20124869,-0.6285787,-0.59073067,0.32640368,0.031494398,0.14180702,-0.12161003,0.34138703,-0.033026077,-0.29365042,-0.18224002,0.056097843,-0.11458122,1.0367869,0.04546312,0.15797752,0.07114968,-0.3512617,-0.23563279,-0.48520452,0.6976142,-0.12054276,-0.18053165,0.45324796,-0.8433079,-0.11670082,0.5688157,-0.39818737,-0.9388151,0.19275093,-0.3428765,-0.003814227,-0.21101142,-0.23457782,-1.2757391,-0.109323665,-0.4346264,0.15180476,0.17346253,-0.21382558,0.10610834,0.15955193,-1.0974156,0.03143886,0.48215646,0.20353661,-0.7235729,-0.7799607,0.31607988
4,and,0.066687375,-0.34245768,0.53556675,-0.187681,0.21699606,0.28875166,-0.041623615,0.39420667,-0.55531174,0.069211535,-0.54360634,-0.33639714,0.13938653,0.6134582,0.0685417,0.46535492,0.17928647,-0.18575056,-0.036730602,-0.20440796,0.05559196,-0.2250321,0.87004983,0.12164475,0.28586787,-0.349477,0.22735152,-0.569149,0.103576764,0.37538782,0.6744232,-0.9166927,0.41596246,0.4443851,0.15364331,-0.61730224,-0.30573213,-0.1553605,-0.06587932,0.08494489,0.019439666,-0.6499477,-0.8254108,0.63372195,0.16791688,1.1209211,-0.24600549,-0.09967809,-0.6236875,0.44984537,-0.37417218,-0.26880446,0.42554662,-0.6200356,-0.24324755,-0.45449367,0.7816211,1.0010704,0.1474405,0.49739644,0.90527755,-0.053164642,0.57241166,-0.12683366,-0.5373251,0.288129,0.57712525,-0.023266327,-0.111893766,0.213277,0.0776777,0.94515795,0.10543787,0.8288606,-0.49350095,-0.26700088,0.38676795,-0.73383254,-0.38422412,-0.01092738,-0.10027533,0.62855387,-0.39811903,0.529572,-0.58218384,0.093740985,0.61898226,-0.3207229,-0.11168606,-0.7247793,0.021916298,0.014025243,-0.43048263,-0.27060565,0.46744737,0.62574816,-0.10304977,0.14842097,-0.25176328,0.8643605
5,how,-0.8999336,0.17277896,-0.40116617,-0.5702835,-0.91256654,0.596619,-0.433099,0.18143661,-0.18237336,-0.67169076,-0.0808852,-0.6690884,-1.0364871,-0.22036926,0.041492134,0.33592093,0.15277436,-0.088960744,-0.79205954,-0.18946673,-0.85575414,-0.87649167,0.3129948,-0.7120652,-0.3210815,0.50783044,-1.2526596,0.62595755,-0.30143613,-0.48269212,-0.60710084,0.22094607,-0.85499704,1.1013854,-0.41869396,-0.6110813,-0.11112111,-0.7279042,-0.4495115,-1.1030774,-0.01353682,0.7038415,0.04420304,-0.14313358,0.07084187,-0.26940578,0.11140918,-0.43213007,-0.24965392,-0.049326286,0.45778814,-0.540217,0.2663127,-0.59026945,0.49405342,0.48850453,-0.5198944,-0.2506434,-0.6018599,0.72020674,0.49340838,-0.15017505,-0.98637956,-0.48040575,-0.7104014,0.6254184,-0.75737286,0.53233504,1.6468652,0.27112043,-0.6106519,-0.8686298,0.32887918,0.060050834,1.1407149,0.25451788,-0.5341004,-0.14803195,-1.3242102,0.19818164,-0.0071792854,0.06992966,-0.24607208,-0.14145905,0.04164845,0.16843677,0.6557279,-0.5758118,1.4239799,0.631147,0.2618744,0.655238,0.8925485,-0.3030783,-0.5761694,-0.637469,-0.3595701,-0.94597435,0.47017518,0.82558435
6,will,-0.22846505,0.22936256,-0.15144826,-0.09559278,0.48955286,-0.9902452,-0.7706314,0.90311134,-1.2687168,0.10189782,0.652321,-0.30570954,0.6882582,-0.54432565,0.1708686,0.5194207,0.37939304,0.6855531,-0.18413998,0.26208138,0.14832655,-0.15064137,-1.1715328,-0.12143413,0.30618364,-0.5586102,0.36612216,-0.6977201,1.095935,0.47146016,0.96643794,-0.058679655,-0.27492687,-0.18271586,-0.22084133,-0.6168948,0.6938241,-0.563902,-0.22419693,0.1996058,0.22689997,-0.28154212,-0.29402438,0.57503176,0.41357493,-1.0841601,0.5308845,1.4653548,0.20539156,-0.33336675,0.068039395,-0.29093152,-0.13343151,0.1490313,-0.6767067,-0.2166887,-0.7527736,0.08513637,-0.5193152,-0.123035975,-0.22967674,0.58567744,0.068354346,-0.5525591,0.09968899,-0.33097407,0.6748396,1.3523866,0.35899588,-0.12591055,-0.013004869,0.44614547,0.48532695,-0.43763795,-0.027553001,-0.5478555,0.1831022,0.28392208,0.9831652,1.0545859,-0.106721595,0.33569714,0.0107613355,-0.21439704,-0.08775263,-1.0799946,0.12915707,0.26341566,0.47937182,0.070670806,0.15922962,0.11773356,0.5434039,0.27818665,0.034651898,0.123485416,-0.0020464219,0.22218986,0.17887025,0.5151658
7,climate,0.13684036,-0.6719684,0.19273172,-0.80439055,-0.42543244,0.40793356,-0.5336633,0.45240873,-0.2656886,-0.01561501,1.1281765,-0.8469184,0.7559288,1.4176426,0.6733725,0.50023496,-0.87901235,0.4122642,0.48367932,0.8536514,0.23557352,0.9522044,-1.1682204,1.1885823,0.5042028,-0.3211183,1.0367118,-0.058513194,-0.82190984,1.1297873,0.8269216,-0.42817432,0.032459475,-0.29254547,-0.91461426,-0.21697758,0.44511002,1.0428265,-0.1375977,-0.6363058,-0.4159155,0.670797,0.46011487,-0.5885625,0.46960965,0.092718,0.08726785,0.41395056,-0.895524,0.29229343,1.1689144,-0.20952384,-0.9343618,-0.55322367,0.38158706,0.038626358,1.4128379,-1.3962029,-0.34737235,1.1301792,0.175168,0.27491915,-0.9331899,-0.5132077,-0.63102007,1.0647781,0.78285015,0.34712303,0.33305484,1.1988727,1.0232003,-0.4387849,-0.9108363,-0.4101308,0.026004134,1.003583,-1.4145995,1.655017,-0.45968285,-0.7732126,0.06831592,0.71735704,-0.28611866,0.86611986,-0.9837191,-0.740892,-0.2756748,0.26972583,-0.64452803,0.3018755,-0.2981635,-0.54008514,0.9030823,0.593286,-1.0036316,-0.3419515,-0.20417537,0.8853553,-0.7712592,-0.09117042
8,change,0.3456347,0.29491407,-1.4418199,0.82942265,1.430086,-0.3471474,1.279975,-0.4465181,1.0664264,1.6056366,-0.003005291,0.7602194,-0.35703558,-0.9482625,-0.7927106,-0.45917878,0.83313835,-0.062702484,-0.3130068,-0.69423366,0.282629,-0.53147143,-0.9406711,-0.0480692,0.34980157,0.5264658,-0.57210666,-0.04581526,-0.90197283,-0.77999353,-0.9254953,1.3059071,-0.4393609,0.40606982,0.6357575,0.10382404,-0.30311397,-0.8072166,0.30016226,0.71395195,0.54296654,-0.8033303,-0.47204694,-0.9127398,-0.43121165,0.035755944,0.2992433,-0.5504261,1.1928461,-0.6890966,-0.76853544,-0.23708646,0.5955868,0.4777358,-0.60607195,-0.22084598,-0.09158789,-1.0375003,0.98743397,-0.1689536,0.15704042,-0.07869328,-0.5019911,0.8330254,0.3734958,-0.41847226,-0.5577983,0.06330086,0.28437817,-0.83642364,-0.7960266,0.577283,0.41735193,0.22308165,0.6612884,-0.34735027,0.6635874,-0.51115036,0.10327334,0.2022991,0.28329447,-0.9149238,-0.7675402,-0.9722377,-0.47762087,1.0357586,0.3099523,-0.98819727,-0.5456778,-0.3958306,0.56653863,0.39155957,-0.49478972,-0.8699155,-0.044645235,0.89036006,-0.072833784,-0.84159786,0.76082987,0.39994887
9,impact,-0.017350476,0.04574379,-0.46487674,0.4885317,-0.31873706,0.093175806,-0.027940273,-0.11982313,0.2675511,-0.03535776,-0.4454475,0.10131898,-0.13979183,-0.11219542,-0.6506007,0.46096784,-0.9759745,-0.09394946,0.23550148,0.17114423,0.6752469,-0.023432778,0.17614312,0.16395949,-0.1773923,0.72082,-0.19032831,-0.3496219,-0.38001224,0.40574548,-0.4260079,0.2245209,-0.16946878,-0.082474805,-0.38361,0.015135823,-0.5739841,-0.4296585,-0.24555612,-0.03737644,-0.39918262,0.4416812,-0.02766828,-0.4886317,0.22567166,0.1879316,0.32113737,0.3037168,0.7170065,0.06610959,0.1294595,-1.3853985,0.27162382,0.19749315,-0.49084753,-0.39825743,-0.47617322,-0.10398325,-0.26303402,0.20688519,1.0088402,0.09495815,-0.698383,-0.57159287,0.7990209,-0.18984307,0.025709314,-1.0391573,0.34385058,-0.33306983,-0.3621446,-0.42651445,-0.40132502,0.20446871,0.48114094,0.15886098,0.5684285,-0.5443004,-0.07007132,-0.18987216,-0.23263805,0.37522557,-0.3808232,0.32109445,-0.60765207,1.0465006,0.06745095,0.048633702,-0.24568686,-0.7556136,-0.68775445,-0.036644425,-0.5043519,-0.03414075,-0.2955751,0.4923431,0.013803787,0.3176533,-0.25614285,0.41612828
