,word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,why,0.4770832,-0.7972953,-0.61448556,-0.34186506,0.19956498,-0.1437803,-0.14280514,0.7373995,-0.9886262,-0.11536689,-0.88971436,-0.8034591,-2.640132,-1.644142,-1.0572014,0.43591976,0.28564382,0.6067276,0.006428872,-1.0915245,-0.07456654,-0.3303065,0.058694385,-0.54178995,0.09919283,-1.4460849,-0.9962714,-0.61197174,-0.26683953,0.65714854,-0.08820916,0.40646017,1.047952,1.3700148,0.957967,0.6090151,-1.1406959,1.3360794,-0.6800418,0.68873024,-0.90309715,0.46663424,-0.7298107,-0.35382253,0.5581886,0.23921211,0.92617595,1.335417,-0.69616205,-0.20280635,1.4388634,-0.28188217,-0.73990023,0.16616327,0.40270433,-0.483603,0.52293813,1.5416061,-1.1220936,-0.7656632,-0.14952907,-0.36377499,0.04618848,-0.39222303,0.3108974,0.51853645,-0.41142076,-0.3281288,1.1479489,-1.320069,-0.45166212,0.9032957,0.74249524,-0.65417725,-0.56762314,1.2218208,-0.31003776,-0.45620012,0.13053145,0.59577215,0.66000646,-0.50972563,-0.24408142,0.68846726,-0.21293667,0.88808817,0.0941829,1.9952574,-0.17723112,-0.06766627,0.8410921,0.23466523,1.1643702,0.353852,-0.32020226,-0.0104693705,0.44480616,-0.4425341,1.4178486,0.49972478
1,be,-0.40845603,-1.1486267,0.93443775,-0.57999706,-0.66999197,1.6900274,1.9568979,-0.7435868,0.29922354,1.0314704,1.5720291,0.5189178,-1.4455587,-0.07734368,-0.11902551,-1.4656895,0.7425009,-0.16175726,-2.1974547,1.1960456,0.29332614,-0.40639508,0.83705646,-1.0273923,-0.8497854,-1.141911,0.4778797,-1.67543,0.58366024,-0.30509678,0.018340701,0.023444533,0.92568934,0.34764618,1.2364323,0.39357403,0.64823097,0.34737098,0.38999242,0.03267664,-0.0010671524,0.27526462,0.60362047,-1.8756654,0.015545196,-0.3463773,0.36965433,0.6296489,0.5222905,-0.23864149,-1.3051283,0.6876785,0.92567366,0.9277236,1.7249069,-0.52519196,-0.32389393,0.6310692,0.54081166,1.4526095,0.6933663,-0.104541615,0.42943224,0.56150085,0.40977874,-0.45266494,0.17278023,0.79352564,-0.002122634,-0.30059507,0.8304772,0.10612028,1.3890868,0.5923403,0.25875753,1.2985839,-1.11584,-0.8087888,-0.32037586,0.0016946755,0.7898998,0.3176223,0.8505662,-0.85458726,-0.27664733,-1.2982657,-0.3000036,-0.45336112,1.9776114,-0.61807644,0.13799404,-0.58012515,-0.8527222,0.2947292,-0.82321686,1.5256287,-1.4885607,0.1351872,-0.6262613,0.5426581
2,global,0.4477993,0.05030385,-0.4595251,0.18899536,-0.081343465,0.6249163,0.31100062,-1.0631377,1.4384594,0.54702723,-0.054740462,-0.67591375,1.0950791,1.4160817,0.5514186,0.7066085,-0.24746825,0.6458068,-0.0869983,0.86612874,2.3136587,0.08157959,0.00660437,1.1882502,-1.2938837,-0.7720476,0.48121053,-0.21664433,-0.81490993,0.44033605,-0.2186608,-0.851645,0.79181117,-0.28050306,-1.3511212,-0.2733377,-0.38525844,1.7374179,-0.09880181,-1.3615137,0.3171767,1.0525585,-1.5572023,0.499902,-0.67168,0.43826592,0.59277105,-0.5224278,0.20350926,-1.039967,1.0766822,-1.4305732,-0.6703618,-0.4010684,-1.6383528,0.20854557,-0.24529175,0.80773395,0.64612675,-1.5033672,-1.2469647,-0.4012855,0.3487469,-0.30249444,-0.11817293,-0.12531549,0.36659074,0.82019573,1.4806032,0.09209872,0.93482494,-0.11090984,-0.87335294,-1.291393,0.54461324,1.576133,-1.119825,-0.45537892,0.72367054,0.5126984,-0.42378998,-0.66177934,1.5821682,0.16800977,0.93688786,-0.32508498,-0.4799212,0.7013084,1.5871146,-0.0625183,-0.42493603,0.16763207,0.19815631,-2.0834947,0.20287189,1.0386428,0.77824986,-0.37782508,-0.35484165,0.60137945
3,warming,-1.6105382,0.66014224,0.45003387,-0.06020497,0.88233644,0.66290027,0.9943724,-0.9262706,0.58802533,0.19998418,-0.23332362,-0.5501527,-0.84155005,1.1411321,-1.069425,-1.7703937,-0.12871256,0.10174294,-0.6614125,1.8655438,0.862146,0.9712557,-0.072114795,-0.81957155,0.0933313,-1.0346212,-0.75084996,2.1866305,-0.26569185,-0.6854677,-1.4633483,-1.0376024,0.7414223,-0.5462638,1.234729,0.42746451,0.24146533,0.019056033,0.50807786,0.41431674,-0.8626833,-0.005592458,-1.2602733,1.4777944,-1.1651136,0.33270139,0.0507663,0.56077546,-1.9816498,0.16794062,0.4907056,0.30176708,0.029021172,0.64117277,1.6664102,-1.0036548,-0.84435433,-0.97230566,0.9080393,-0.9616933,-1.3802481,-1.3854144,0.66462886,1.2239345,0.5087467,0.7945868,-0.27210623,0.3522707,0.17431149,1.2354783,-1.2107308,0.6990054,0.7391279,0.5221164,0.7846742,0.9725958,-0.0042194934,-0.16051695,1.2989254,-0.3738326,1.3592956,-1.1240996,-0.61759645,0.17796952,0.4216692,0.21006595,0.49124157,-0.61257166,-0.52676535,0.28376785,-0.36333698,-1.1389083,-0.20872113,0.5293103,0.53885573,-0.21722527,1.1868213,0.11425001,-0.6838393,-0.008373931
4,climate,0.6418328,1.3834583,1.2914878,-0.7221577,1.4995477,1.2669317,-0.7484418,1.8078911,-0.71196383,1.260133,0.6282594,0.8340404,0.9607294,-0.5905589,-0.94113755,-1.6693015,-0.8384101,1.0499285,-1.0530123,0.45328283,-1.6844409,-1.6746311,-2.0251536,-1.5002364,-0.41247556,0.9537283,1.2524546,0.5021981,-0.07360704,-0.6122557,-0.5690443,-1.8972887,1.0818149,-0.3946186,0.4018196,-0.7177531,-0.41100132,0.073428236,-0.55829436,-0.62041736,-0.8260758,0.9861752,-1.2457111,0.7629721,-0.8017145,0.91785973,-0.48113707,1.216982,0.72402877,0.8463964,2.5274928,0.49557984,1.7966679,2.1490054,0.076413885,0.7904962,1.1188992,-1.6139784,-2.2923033,-1.0122277,-0.8538064,-0.095914595,-1.1503975,-0.81001204,0.30276597,2.2779112,0.15269083,-1.9794387,0.752028,-0.6376071,1.0121197,-0.84269625,-1.020299,1.6381273,0.68290335,2.3549972,1.7346814,2.0823138,0.9842759,1.5666466,-1.1492099,-0.72654265,0.7884162,-0.36510873,-0.06956234,-1.0864267,1.7193004,0.20492098,1.5222585,1.8154705,0.8860859,-0.22931407,0.25241023,0.6888075,1.7025068,0.8571261,0.5743719,-1.3205212,-0.5154401,1.369826
5,change,-0.41879612,-1.5711554,-1.2894423,0.8835535,0.015498479,0.5917533,-0.35657254,0.7550458,0.34119806,1.0156095,-0.9449938,-2.182651,-0.3706807,0.8721208,0.43065527,2.1741998,-1.1903139,-0.7875948,-0.8966005,2.3546922,-0.72288674,0.7432825,-0.69766104,0.4797643,-0.045986284,-0.15091072,-1.1622976,0.94993824,0.6593617,0.3823083,-1.1783422,0.7485644,-0.074018836,-0.6278171,-1.3204406,-0.38834712,-0.11145961,-0.26017225,0.38981223,0.24528977,1.0368326,-1.0866762,-0.39314827,1.2663574,0.19266427,0.1493791,1.0697939,-1.4723859,-0.014824394,-0.85407966,0.08601847,-0.7967239,0.59319896,-1.0016387,0.26403472,-1.8994526,-1.9298909,0.7239439,1.81335,0.16003868,0.82180655,0.80693746,1.977147,-1.0325634,-0.19681676,-0.74720573,-0.30677274,0.46949792,-2.1777325,1.03272,-0.87405014,-0.35799164,1.379796,-0.32229182,-0.44468182,-0.07623313,-1.6190853,-1.7270637,0.9430022,0.272598,0.21363994,0.28509834,0.19000329,1.7174634,-2.6856833,-0.38250247,-0.41658774,2.415432,0.087214194,-0.7977716,-1.3866608,1.1589165,1.0165355,-1.4627157,-1.7394294,0.7538293,-0.5041993,1.4489,0.8218961,-1.1430119
6,?,0.2860215,0.17673501,1.2871659,2.2835534,-0.45023316,-0.18494968,0.42923513,1.2526858,-0.41742483,0.8676522,-1.1119938,-0.40506613,-0.27122083,-0.430203,-0.5263643,-0.36778995,1.210022,-0.24155226,0.6481493,0.40347302,1.4070164,-1.3052487,0.40652266,-0.975293,0.17154694,-0.2925329,-1.5333577,-0.86008906,1.2069428,0.30686074,-1.2989007,1.27589,0.93225414,-0.76642865,-0.48613226,-0.6601205,-0.61508673,0.4996133,-1.3358859,-2.5058882,0.2579045,-0.46856087,1.0818621,0.47528893,-0.6998422,-0.08245603,0.2859067,-0.8631228,0.1601313,-0.33057907,0.033874903,-1.3223614,-1.7002013,0.40709358,0.63554287,-0.14887795,1.4444916,-1.621699,0.9298077,-0.9507346,0.6091524,-1.0281968,-0.70894796,-0.3192852,-2.17799,0.14194374,-0.9177174,0.10144125,0.053719047,-1.4490056,-1.0515009,-0.4081491,-0.1489415,-0.14254321,-1.098363,0.028389258,0.018909043,0.8150199,-1.4824262,1.2309412,-0.5737112,-0.77263856,0.12851477,-0.67279947,-0.31681177,0.5485581,-1.2737676,-1.1937981,-0.56593305,-1.0530628,1.0990223,-0.7669149,0.12124477,-0.050537758,-0.07371816,1.0548382,-0.78518873,0.25762436,-0.9586107,1.0574472
7,human,0.72420853,-0.2554528,-0.19666873,-0.9469483,1.2955198,-0.8652192,0.39231622,0.45144084,0.9068853,-0.9617377,1.6682415,-0.057029966,-0.010285694,0.57280046,0.71720463,1.2528994,1.3320348,-2.0586545,-0.26611498,0.008140555,-0.9228311,0.15461007,-1.806991,-0.5397945,0.57041913,-1.6592245,-0.18206133,-0.3039123,-0.49024546,0.37365183,0.5979047,-1.1029438,2.3407965,0.6215501,-0.667897,-1.220896,0.8341723,0.37180787,-0.95236367,0.3217544,0.80272233,1.0842862,-0.7951611,-0.44525716,-0.11655832,-0.53487027,0.48043317,-0.003067706,-0.40511584,0.61786723,-0.15081611,-1.1585095,-0.62311494,0.5727777,-0.09895746,-0.77643627,-0.733238,-1.4537389,-0.6211555,-1.2182817,0.017576464,-0.44932497,0.16944991,-0.79519594,-1.2801065,-1.029146,-0.07950398,0.84212524,0.26612607,0.39029896,-1.1785042,-0.7100393,-0.45364627,-0.5050256,-0.23073672,0.8607558,1.0772814,0.31751615,-0.27328935,-0.35156998,-0.01239245,0.6961616,0.20666692,0.52379036,1.2206906,-1.4748824,-0.9317207,0.9219694,-1.3561258,0.23159836,0.36364162,-0.63638896,1.1399391,0.48287517,-1.0098225,-1.6128342,0.4029222,-0.043769766,-0.4603858,2.029051
8,due,0.019938855,-1.0395869,-0.08422672,-0.20354767,-0.12600365,0.42998427,0.21494268,-1.5110624,0.463247,0.39158517,1.0386502,0.7760866,-0.52129847,-0.99669605,0.7691736,0.3140298,-0.7907538,-0.5671261,-0.5491797,-0.2893246,-0.56577647,-1.0099941,-0.14668386,-0.85443044,0.4304367,-1.1037831,-0.7369589,0.25470772,-1.0865769,-0.31348547,-0.49644458,-0.1531497,1.0727545,0.3593628,0.26346442,-0.8053932,0.44717783,0.28251004,-0.28864604,-0.98297805,0.25833553,-0.11022267,-0.18996873,0.6603732,-0.07784102,-0.16550328,0.834299,0.18108344,2.2362976,-0.56593084,-0.08010297,0.1226733,0.9450796,0.5340298,-0.10351121,-0.0429605,-1.4893284,0.9950419,0.32371396,-1.0836166,-0.47404027,1.1740936,0.69493,1.1054609,0.27721983,0.29274374,0.030515794,0.07268158,-0.5652553,0.52688605,0.6944477,-0.08705999,-0.20523967,-0.045720566,0.15392612,0.9699693,-0.2490088,0.37107292,-1.5436895,0.10750679,0.89496577,-0.22990106,-0.22270466,0.26160687,0.007144051,0.24043715,0.46263406,0.7664097,1.7577603,-0.91649854,-0.45840368,-0.032057606,-0.40469873,-0.33735558,-1.3445693,-0.13668239,-0.14339522,-0.27485737,-0.89012575,0.3150633
9,to,-0.109757096,0.99081767,0.15511915,0.2151669,1.2213712,0.4421473,0.71130127,1.7588031,-0.5978502,-0.6498519,-1.1973104,1.7313153,1.1165619,-0.93269354,1.5458331,0.6155808,0.3515523,1.3369458,-0.3441538,0.6496268,1.32419,0.6220781,-0.19448443,-0.2646356,1.4434414,-0.15111208,1.3074074,-0.53966504,1.5144618,0.5381428,0.14484723,1.6543967,0.41918826,1.9494345,0.20110546,-0.92559797,-1.0809993,-0.14559339,0.6300204,1.1929559,0.028864658,-1.3426071,-0.040916294,1.0292419,-0.23897111,1.0960575,0.4922924,-0.73307824,0.1732693,-0.89878166,-0.67135954,0.55436265,-0.8645965,-0.6842001,0.36527824,0.16354676,0.16505234,1.2308217,-1.6370561,0.34798345,0.43611178,-0.06765812,-0.7375869,-0.19976914,-0.8383094,-0.70365906,0.05764542,1.6409082,0.47200924,1.2091467,-2.460432,-0.14778146,-0.9890349,-0.028878987,1.1931012,-0.6171549,0.65632826,1.3813328,0.87695223,1.524292,0.11384643,-1.0529566,0.55570173,0.46454793,0.20208986,-1.2817076,-0.2286874,-0.49061885,-0.76074696,1.7608087,-0.5438751,1.0045414,0.97112167,1.7968657,-1.4244522,0.90363246,-0.9988569,0.544253,0.21473174,0.0022768923
