,cluster,top_10_words
0,0,"['climate', 'change', 'trump', 'new', 'world', 'report', 'global', 'news', 'fight', 'study']"
1,1,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'like', 'r', 'think']"
2,2,"['climate', 'change', 'real', 'global', 'scientist', 'fight', 'cause', 'bad', 'stop', 'trump']"
3,3,"['climate', 'change', 'fight', 'world', 'need', 'new', 'trump', 'help', 'combat', 'want']"
4,4,"['climate', 'change', 'world', 'new', 'global', 'impact', 'effect', 'fight', 'year', 'report']"
