,cluster,top_10_words
0,0,"['climate', 'change', 'trump', 'new', 'world', 'report', 'global', 'scientist', 'study', 'news']"
1,1,"['climate', 'change', 'fight', 'world', 'trump', 'new', 'need', 'plan', 'combat', 'help']"
2,2,"['climate', 'change', 'people', 'world', 'year', 'like', 'think', 'r', 'new', 'global']"
3,3,"['climate', 'change', 'global', 'real', 'fight', 'food', 'trump', 'vulnerability', 'social', 'insecurity']"
4,4,"['climate', 'change', 'world', 'new', 'global', 'year', 'trump', 'fight', 'science', 'report']"
