,cluster,top_10_words
0,0,"['climate', 'change', 'world', 'trump', 'new', 'report', 'global', 'study', 'scientist', 'fight']"
1,1,"['climate', 'change', 'fight', 'world', 'trump', 'new', 'need', 'combat', 'plan', 'want']"
2,2,"['climate', 'change', 'think', 'people', 'believe', 'real', 'cause', 'trump', 'like', 'know']"
3,3,"['climate', 'change', 'trump', 'global', 'fight', 'food', 'social', 'real', 'vulnerability', 'insecurity']"
4,4,"['climate', 'change', 'world', 'people', 'year', 'new', 'global', 'r', 'like', 'time']"
