,cluster,top_10_words
0,0,"['climate', 'change', 'trump', 'new', 'world', 'report', 'news', 'fight', 'global', 'study']"
1,1,"['climate', 'change', 'fight', 'trump', 'world', 'new', 'need', 'help', 'want', 'combat']"
2,2,"['climate', 'change', 'world', 'year', 'new', 'people', 'global', 'r', 'comment', 'energy']"
3,3,"['climate', 'change', 'people', 'think', 'believe', 'like', 'real', 'cause', 'know', 'trump']"
4,4,"['climate', 'change', 'trump', 'real', 'global', 'fight', 'world', 'scientist', 'cause', 'impact']"
