,cluster,top_10_words
0,0,"['climate', 'change', 'trump', 'new', 'world', 'report', 'scientist', 'global', 'study', 'news']"
1,1,"['climate', 'change', 'real', 'global', 'fight', 'trump', 'cause', 'warming', 'stop', 'threaten']"
2,2,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'r', 'like', 'think']"
3,3,"['climate', 'change', 'fight', 'world', 'trump', 'new', 'need', 'combat', 'help', 'want']"
4,4,"['climate', 'change', 'world', 'new', 'global', 'trump', 'fight', 'science', 'year', 'impact']"
