,cluster,top_10_words
0,0,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'r', 'like', 'think']"
1,1,"['climate', 'change', 'world', 'new', 'global', 'year', 'fight', 'effect', 'impact', 'cause']"
2,2,"['climate', 'change', 'real', 'global', 'fight', 'scientist', 'cause', 'bad', 'trump', 'stop']"
3,3,"['climate', 'change', 'trump', 'new', 'world', 'report', 'global', 'news', 'study', 'fight']"
4,4,"['climate', 'change', 'fight', 'world', 'new', 'trump', 'need', 'help', 'combat', 'want']"
