,cluster,top_10_words
0,0,"['climate', 'change', 'world', 'new', 'global', 'trump', 'fight', 'science', 'impact', 'year']"
1,1,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'r', 'like', 'think']"
2,2,"['climate', 'change', 'fight', 'trump', 'world', 'new', 'need', 'help', 'combat', 'want']"
3,3,"['climate', 'change', 'trump', 'real', 'global', 'scientist', 'fight', 'accelerate', 'warming', 'cause']"
4,4,"['climate', 'change', 'trump', 'new', 'world', 'report', 'global', 'scientist', 'study', 'news']"
