,cluster,top_10_words
0,0,"['climate', 'change', 'trump', 'new', 'world', 'report', 'news', 'global', 'fight', 'study']"
1,1,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'like', 'r', 'think']"
2,2,"['climate', 'change', 'fight', 'world', 'trump', 'need', 'new', 'help', 'combat', 'want']"
3,3,"['climate', 'change', 'real', 'scientist', 'trump', 'global', 'fight', 'cause', 'bad', 'stop']"
4,4,"['climate', 'change', 'world', 'new', 'global', 'impact', 'effect', 'report', 'trump', 'fight']"
