,cluster,top_10_words
0,0,"['climate', 'change', 'people', 'real', 'think', 'cause', 'believe', 'trump', 'fight', 'scientist']"
1,1,"['climate', 'change', 'fight', 'global', 'real', 'scientist', 'trump', 'accelerate', 'stop', 'action']"
2,2,"['climate', 'change', 'world', 'people', 'year', 'new', 'r', 'global', 'like', 'comment']"
3,3,"['climate', 'change', 'trump', 'new', 'world', 'fight', 'report', 'study', 'global', 'action']"
4,4,"['climate', 'change', 'world', 'new', 'fight', 'global', 'trump', 'science', 'impact', 'effect']"
