,cluster,top_10_words
0,0,"['climate', 'change', 'world', 'new', 'global', 'year', 'impact', 'effect', 'fight', 'trump']"
1,1,"['climate', 'change', 'fight', 'trump', 'world', 'new', 'need', 'help', 'combat', 'want']"
2,2,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'like', 'r', 'think']"
3,3,"['climate', 'change', 'real', 'trump', 'global', 'scientist', 'fight', 'cause', 'bad', 'human']"
4,4,"['climate', 'change', 'trump', 'new', 'world', 'report', 'news', 'global', 'study', 'fight']"
