,cluster,top_10_words
0,0,"['climate', 'change', 'trump', 'new', 'world', 'report', 'news', 'global', 'study', 'fight']"
1,1,"['climate', 'change', 'world', 'new', 'global', 'fight', 'effect', 'impact', 'year', 'cause']"
2,2,"['climate', 'change', 'fight', 'world', 'trump', 'need', 'new', 'help', 'want', 'combat']"
3,3,"['climate', 'change', 'real', 'global', 'trump', 'scientist', 'bad', 'fight', 'cause', 'people']"
4,4,"['climate', 'change', 'people', 'world', 'year', 'new', 'global', 'like', 'r', 'think']"
